Base_HR,Base_EDA,HR,EDA,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,EDA_difference,HR_difference,Trust_level
81.3,2.45,98.37,3.11,0.8284242,0.1409622,0.08440426,0.007768277,0.003709475,0.000158573,0.003232307,0.66,17.07,Gradual_trust
81.3,2.45,98.77,3.2,0.8160677,0.1306402,0.1197319,0.01057126,0.004089469,0.000910979,0.03524182,0.75,17.47,Gradual_trust
81.3,2.45,99.2,3.05,0.8037112,0.1203183,0.1550595,0.01337423,0.004469463,0.001663383,0.06725129,0.6,17.9,Gradual_trust
81.3,2.45,99.65,2.88,0.7913547,0.1099963,0.1903872,0.01617721,0.004849456,0.002415789,0.09926081,0.43,18.35,Gradual_trust
81.3,2.45,100.03,2.97,0.8699253,0.06757603,0.09217121,0.01798989,0.01206217,0.001127997,0.04987056,0.52,18.73,Gradual_trust
81.3,2.45,100.23,3.15,0.8503973,0.06085565,0.1268762,0.01858582,0.01127778,0.001143734,0.04730906,0.7,18.93,Gradual_trust
81.3,2.45,100.43,3.2,0.8308694,0.05413527,0.1615811,0.01918175,0.01049339,0.00115947,0.04474756,0.75,19.13,Gradual_trust
81.3,2.45,100.65,3.12,0.8074608,0.04769506,0.2102862,0.01958305,0.00958346,0.001070788,0.04104992,0.67,19.35,Gradual_trust
81.3,2.45,100.85,3.05,0.7840521,0.04125486,0.2589913,0.01998436,0.008673524,0.000982106,0.03735228,0.6,19.55,Gradual_trust
81.3,2.45,101.03,2.99,0.7070381,0.03237757,0.334107,0.01863642,0.007193671,0.000803126,0.03108934,0.54,19.73,Gradual_trust
81.3,2.45,101.23,2.96,0.6466988,0.02711673,0.3863959,0.01734592,0.008837178,0.000921481,0.02639138,0.51,19.93,Gradual_trust
81.3,2.45,101.42,2.96,0.6576991,0.02574668,0.3913516,0.01746759,0.01083152,0.001219928,0.02525452,0.51,20.12,Gradual_trust
81.3,2.45,101.6,3,0.6686994,0.02437664,0.3963072,0.01758927,0.01282586,0.001518374,0.02411767,0.55,20.3,Gradual_trust
81.3,2.45,101.78,2.95,0.6922823,0.02256048,0.3766411,0.01767449,0.01515958,0.002626214,0.02252147,0.5,20.48,Gradual_trust
